"coefficient_lambda.min";"term";"rule"
"1";-3.49590070205084;"(Intercept)";NA
"2";-2.45982357482724;"X1_capital_gain_8";"capital_gain>=4974 & capital_gain<5096"
"3";-1.7858688963612;"X1_capital_gain_4";"capital_gain>=3120 & capital_gain<4244"
"4";-0.839214964910924;"X1_capital_loss_5";"capital_loss>=1568 & capital_loss<1748"
"5";-0.62594561539776;"X1_capital_loss_10";"capital_loss>=1978 & capital_loss<2168"
"6";-0.585874658743585;"X1_capital_gain_6";"capital_gain>=4401 & capital_gain<4668"
"7";-0.506501014958138;"X1_occupation.Exec.managerial_1_capital_gain_1";"capital_gain<3120.0 & occupation Exec-managerial<   0.5"
"8";-0.504221375304737;"X1_capital_gain_2";"capital_gain>=  57 & capital_gain<3048"
"9";-0.474125001616769;"X1_occupation.Prof.specialty_1_education.Prof.school_1_age_1";"age<28.5 & education Prof-school< 0.5 & occupation Prof-specialty< 0.5"
"10";-0.472953993384407;"X1_occupation.Prof.specialty_1_capital_gain_1";"capital_gain<4243.5 & occupation Prof-specialty<   0.5"
"11";-0.464055943864433;"X1_workclass.Federal.gov_1_capital_loss_1";"capital_loss<2218.5 & workclass Federal-gov<   0.5"
"12";-0.43690885369256;"X1_relationship.Wife_1_native_country.South_1_hours_per_week_1_1_relationship.Wife_1_native_country.South_1_hours_per_week_2_1";"hours_per_week<31.0 & native_country South< 0.5 & relationship Wife< 0.5"
"13";-0.39306694360039;"X1_sex.Male_1_relationship.Wife_1";"relationship Wife<0.5 & sex Male<0.5"
"14";-0.393057312659763;"X1_marital_status.Married.civ.spouse_1_hours_per_week_1";"hours_per_week<48.5 & marital_status Married-civ-spouse< 0.5"
"15";-0.189566635442889;"X1_relationship.Wife_1_occupation.Exec.managerial_1";"occupation Exec-managerial<0.5 & relationship Wife<0.5"
"16";-0.186041183301239;"X1_education.Assoc.voc_1_capital_loss_1_age_1";"age<  37.5 & capital_loss<2396.0 & education Assoc-voc<   0.5"
"17";-0.160251105141006;"X1_marital_status.Married.civ.spouse_2_age_1";"age<23.5 & marital_status Married-civ-spouse>= 0.5"
"18";-0.14529555785376;"X1_occupation.Sales_1_education_num_1";"education_num<14.5 & occupation Sales< 0.5"
"19";-0.143507834593098;"X1_relationship.Unmarried_1_age_1";"age<24.5 & relationship Unmarried< 0.5"
"20";-0.123166946337264;"X1_capital_gain_1_age_1";"age<  44.5 & capital_gain<4243.5"
"21";-0.115690066195181;"X1_relationship.Wife_1_age_1";"age<42.5 & relationship Wife< 0.5"
"22";-0.0749668405315437;"X1_capital_gain_12";"capital_gain>=6458 & capital_gain<7074"
"23";-0.0622544647035685;"X1_occupation.Tech.support_1_hours_per_week_1_1_occupation.Tech.support_1_hours_per_week_2_1";"hours_per_week<49.5 & occupation Tech-support< 0.5"
"24";0.00228752720419275;"hours_per_week";NA
"25";0.00383457580541053;"X1_race.White_2_occupation.Machine.op.inspct_1";"occupation Machine-op-inspct<0.5 & race White>=0.5"
"26";0.0135587679559134;"X1_sex.Male_2_age_1";"age>=45.5 & sex Male>= 0.5"
"27";0.0149864980663935;"X1_occupation.Farming.fishing_1_capital_loss_3";"capital_loss>=2218.5 & occupation Farming-fishing<   0.5"
"28";0.0197814457597157;"X1_marital_status.Married.civ.spouse_2";"marital_status Married-civ-spouse>=0.5"
"29";0.0239035911190676;"X1_workclass.Self.emp.inc_2_education.Assoc.acdm_1";"education Assoc-acdm<0.5 & workclass Self-emp-inc>=0.5"
"30";0.0261879795007696;"X1_occupation.Craft.repair_1_education_num_1";"education_num>=11.5 & occupation Craft-repair< 0.5"
"31";0.0375316565599735;"X1_native_country.United.States_1_fnlwgt_2";"fnlwgt>=114585.5 & native_country United-States>=     0.5"
"32";0.0476744490131463;"X1_occupation.Prof.specialty_1_capital_gain_2_1_occupation.Prof.specialty_1_capital_gain_3_2";"capital_gain>=4243.5 & occupation Prof-specialty<   0.5"
"33";0.0477730475904901;"X1_occupation.Handlers.cleaners_1_hours_per_week_2";"hours_per_week>=19.5 & occupation Handlers-cleaners< 0.5"
"34";0.0860677076153118;"X1_occupation.Handlers.cleaners_1_capital_loss_2";"capital_loss>=1748.0 & occupation Handlers-cleaners<   0.5"
"35";0.0890935703848571;"X1_age_9";"age>=42.5 & age<59.5"
"36";0.128785335478053;"X1_race.Black_1_occupation.Other.service_1";"occupation Other-service<0.5 & race Black<0.5"
"37";0.151018187131453;"X1_hours_per_week_4";"hours_per_week>=43.5 & hours_per_week<65.5"
